train_step,forward_agent/optimal_pd,method,source
12010,60.45554146796954,RISC,risc
12053,52.65386772133552,RISC,risc
12105,57.943837391698885,RISC,risc
12126,57.93617568245543,RISC,risc
12162,51.18910563205519,RISC,risc
12183,50.65537905998012,RISC,risc
12272,40.17805749796067,RISC,risc
12312,50.10846205111047,RISC,risc
12378,51.61159359881409,RISC,risc
12427,35.36623484722409,RISC,risc
12448,53.53455008950081,RISC,risc
12522,46.273731634456034,RISC,risc
12567,46.56607002240894,RISC,risc
12606,22.74512592671127,RISC,risc
12627,46.25484345648698,RISC,risc
12665,40.140100358295896,RISC,risc
12716,20.92333402982475,RISC,risc
12755,45.30146213628763,RISC,risc
12812,38.79409034566778,RISC,risc
12833,15.73252426799406,RISC,risc
12854,17.885098664646932,RISC,risc
12896,21.96804989232702,RISC,risc
12917,26.502292786800176,RISC,risc
13016,38.115539825674446,RISC,risc
13037,31.449082674480106,RISC,risc
13082,50.10642870059634,RISC,risc
13115,44.04313117304293,RISC,risc
13157,46.34408601982653,RISC,risc
13190,25.029045289545575,RISC,risc
13237,35.479560481067196,RISC,risc
13258,51.52008901581668,RISC,risc
13279,50.46650038010503,RISC,risc
13325,39.36643742138185,RISC,risc
13387,46.98754178815793,RISC,risc
13444,33.29074849726298,RISC,risc
13465,56.33310839286031,RISC,risc
13520,57.260706823638415,RISC,risc
13626,81.75301897789292,RISC,risc
13729,80.49714288203302,RISC,risc
13764,80.25936622354816,RISC,risc
13804,81.27647768055624,RISC,risc
13864,81.0266291907203,RISC,risc
13908,80.43298998948265,RISC,risc
13929,74.71218259638653,RISC,risc
13950,73.02209987456507,RISC,risc
14036,63.9298433524258,RISC,risc
14110,46.949692710689725,RISC,risc
14131,58.55568819519166,RISC,risc
14152,48.734773382710294,RISC,risc
14201,35.18265193982798,RISC,risc
14222,39.24885444538616,RISC,risc
14328,27.554052069758573,RISC,risc
14390,53.76123688670269,RISC,risc
14411,45.36453074642634,RISC,risc
14457,42.49966933988372,RISC,risc
14478,34.203997116528015,RISC,risc
14499,47.18420567269763,RISC,risc
14547,41.52520916470424,RISC,risc
14568,52.139002036638125,RISC,risc
14589,47.132115569566416,RISC,risc
14637,51.18976525793371,RISC,risc
14658,47.749158789656306,RISC,risc
14708,37.295512259615435,RISC,risc
14729,51.457424033903564,RISC,risc
14766,50.27110591857049,RISC,risc
14833,52.739443394609374,RISC,risc
14854,49.657093845016995,RISC,risc
14902,56.42684622368693,RISC,risc
14923,55.73030710643428,RISC,risc
14944,47.62131215838151,RISC,risc
14990,51.18956288950828,RISC,risc
15011,13.563406088079368,RISC,risc
15093,56.239535464179426,RISC,risc
15138,34.55973698902127,RISC,risc
15236,43.79455495960731,RISC,risc
15280,32.53633333859141,RISC,risc
15301,54.94021969920563,RISC,risc
15361,54.925906943249636,RISC,risc
15408,46.95180800332173,RISC,risc
15429,54.56228792178346,RISC,risc
15450,43.082926877840244,RISC,risc
15491,31.631070544750887,RISC,risc
15512,13.36631393432234,RISC,risc
15533,10.366398999852318,RISC,risc
15580,28.46402415422598,RISC,risc
15726,9.781940247866618,RISC,risc
15747,5.138757469166799,RISC,risc
15827,27.047251050911314,RISC,risc
15848,40.7293462103081,RISC,risc
15869,68.16838560960284,RISC,risc
15890,48.54751682786305,RISC,risc
15923,31.57457069291395,RISC,risc
15976,22.6800865304048,RISC,risc
15997,64.78226107326421,RISC,risc
16018,18.013549430945787,RISC,risc
16044,11.666827777171163,RISC,risc
16065,16.400405151547602,RISC,risc
16123,13.607160583553913,RISC,risc
16144,55.51534037176796,RISC,risc
16165,56.84801272696943,RISC,risc
16186,55.86229185979595,RISC,risc
16228,42.83897698442618,RISC,risc
16262,62.21258997132436,RISC,risc
16283,54.46793135990081,RISC,risc
16319,53.32347025355656,RISC,risc
16370,61.26781789767436,RISC,risc
16391,43.34743654961144,RISC,risc
16412,46.062207367252405,RISC,risc
16433,45.65521029392792,RISC,risc
16454,47.85731631564517,RISC,risc
16514,53.32870127829328,RISC,risc
16571,62.199007616198145,RISC,risc
16592,84.16348526243928,RISC,risc
16624,90.48741486300767,RISC,risc
16662,86.17649879605422,RISC,risc
16683,68.00460493647336,RISC,risc
16749,62.16665939162868,RISC,risc
16854,80.9912199836729,RISC,risc
16875,81.17498399285655,RISC,risc
16896,80.63916583702598,RISC,risc
16917,80.02856163068684,RISC,risc
16938,80.41540838896586,RISC,risc
16970,72.547670124638,RISC,risc
17020,67.11828208470936,RISC,risc
17041,64.51134737128221,RISC,risc
17062,65.02906991396274,RISC,risc
17083,66.2633415791083,RISC,risc
17151,64.3871313114708,RISC,risc
17172,67.80060759535912,RISC,risc
17209,55.10473406292618,RISC,risc
17261,47.999391299285044,RISC,risc
17298,59.01416923591321,RISC,risc
17319,56.92479142926794,RISC,risc
17344,50.08318506588767,RISC,risc
17365,36.44265035775345,RISC,risc
17386,31.080679621567537,RISC,risc
17431,37.60415750917825,RISC,risc
17452,34.17954839790424,RISC,risc
17473,68.1820142631131,RISC,risc
17511,34.06987789357702,RISC,risc
17532,27.190128063710993,RISC,risc
17569,51.189465502356605,RISC,risc
17623,36.46114358551012,RISC,risc
17664,46.349130549662995,RISC,risc
17732,56.941027096522866,RISC,risc
17815,57.5120467004813,RISC,risc
17885,40.367649248135876,RISC,risc
17906,22.43010934411637,RISC,risc
17927,34.278261308097086,RISC,risc
17956,44.296804334062664,RISC,risc
18051,23.55220863028555,RISC,risc
18137,4.789106171785002,RISC,risc
18228,34.21369576731689,RISC,risc
18249,32.38250690198016,RISC,risc
18293,40.95540999788275,RISC,risc
18314,47.78695528833217,RISC,risc
18335,32.989019005282024,RISC,risc
18356,33.125472267823305,RISC,risc
18377,31.980573197420032,RISC,risc
18427,56.48831991225097,RISC,risc
18448,57.44734413744489,RISC,risc
18504,43.52648959318003,RISC,risc
18525,22.39194782157504,RISC,risc
18546,21.181657594149474,RISC,risc
18567,18.65100008230781,RISC,risc
18603,38.06865110713266,RISC,risc
18635,32.327236383147174,RISC,risc
18656,31.502517430477706,RISC,risc
18683,33.94122615649988,RISC,risc
18730,9.390287880155839,RISC,risc
18799,25.629158798708083,RISC,risc
18820,24.956220732175293,RISC,risc
18853,39.41342613606347,RISC,risc
18874,53.68034686760941,RISC,risc
18918,53.14242526550521,RISC,risc
18991,42.133949713861554,RISC,risc
19019,50.70648996163109,RISC,risc
19071,40.489627427699276,RISC,risc
19102,51.45270800726548,RISC,risc
19174,68.2535198518027,RISC,risc
19224,75.29960732355987,RISC,risc
19276,79.3601837364051,RISC,risc
19297,79.83791475704504,RISC,risc
19327,79.84510074081312,RISC,risc
19390,75.1417420089482,RISC,risc
19411,78.23200059748397,RISC,risc
19432,51.974106394359254,RISC,risc
19533,50.19528993763372,RISC,risc
19554,65.11320591879313,RISC,risc
19642,61.592338568668644,RISC,risc
19673,73.28030826072438,RISC,risc
19703,73.49784285168643,RISC,risc
19724,70.47882349109621,RISC,risc
19745,70.00469575173702,RISC,risc
19767,70.80902523249885,RISC,risc
19788,71.93711186438259,RISC,risc
19820,72.85690089868008,RISC,risc
19841,71.60998282073459,RISC,risc
19866,74.30591125501267,RISC,risc
19887,78.9541004684483,RISC,risc
19908,76.9859982228419,RISC,risc
19930,73.38319902579548,RISC,risc
19959,77.28964737333035,RISC,risc
19980,71.69853459690555,RISC,risc
20013,71.50821395886057,RISC,risc
20039,75.32881363590847,RISC,risc
20060,72.57806702710641,RISC,risc
20081,64.13565365318745,RISC,risc
20120,71.9240065629222,RISC,risc
20148,77.60838698955766,RISC,risc
20175,75.71726390331794,RISC,risc
20196,77.48801020683926,RISC,risc
20224,77.77540978683692,RISC,risc
20253,77.02196771073268,RISC,risc
20285,74.82582643450986,RISC,risc
20306,79.80792040445354,RISC,risc
20341,78.01753532059985,RISC,risc
20362,80.29476419955621,RISC,risc
20390,78.2672996286804,RISC,risc
20417,73.94699578484393,RISC,risc
20438,80.55602835107662,RISC,risc
20459,80.28525885878265,RISC,risc
20491,78.58425076412485,RISC,risc
20519,64.3876712809354,RISC,risc
20557,65.19790924874131,RISC,risc
20578,66.87227506319957,RISC,risc
20630,60.687869174866535,RISC,risc
20651,67.8485407897795,RISC,risc
20714,72.47622410784368,RISC,risc
20780,66.40430463461067,RISC,risc
20801,54.502911724987634,RISC,risc
20822,65.59189216140456,RISC,risc
20873,76.03605290237326,RISC,risc
20894,90.70610325217707,RISC,risc
20915,69.44951337992975,RISC,risc
20975,68.67457803372868,RISC,risc
21045,67.43114491781229,RISC,risc
21066,59.448782001291654,RISC,risc
21087,60.24848814544428,RISC,risc
